Year,Duration,Genre,Rating,Votes,Director
2007,92.0,Drama,6.2,31,Sridhar Rangayan
2011,96.0,Comedy,5.9,41,Amit r Agarwal
2019,135.0,"Drama, Romance, Thriller",5.25,285,Samir Khan
2005,136.0,"Comedy, Drama",5.3,281,Ishaan Trivedi
1988,126.0,Action,5.0,7,Raju Saigal
1995,146.0,"Action, Drama",3.4,10,Sunil Kumar
2016,115.0,"Crime, Thriller",5.7,398,Saurabh Varma
2006,100.0,Documentary,6.2,10,Dutta Madhusree
2011,137.0,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj
1987,127.0,"Drama, Horror, Musical",4.1,34,S.U. Syed
2019,120.0,Thriller,5.3,449,Shravankumar Tiwari
2019,130.0,"Action, Biography, Drama",5.3,249,Avinash Dhyani
2019,136.0,"Adventure, Comedy, Drama",6.15,645,Kiranraj K
2018,125.0,Horror,4.7,18,Ajay Arak
2008,113.0,Mystery,5.85,15,Sunil Bhojwani
2009,122.0,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor
2021,115.0,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar
2021,150.0,"Biography, Drama, History",6.8,344,Kabir Khan
2003,119.0,"Mystery, Thriller",4.7,66,Kushan Nandy
2017,124.0,Action,5.3,9,Amrit Raj Thakur
2019,120.0,Adventure,5.75,10,Virendra Rathore
2011,115.0,"Drama, Musical, Thriller",3.4,175,Ashok Patil
2009,135.0,"Comedy, Crime, Drama",7.3,2767,Krishna D.K.
2019,128.0,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy
2005,90.0,"Crime, Drama",4.8,38,Sanjay Bhatia
2016,86.0,"Documentary, Music",8.9,94,Sarvnik Kaur
2016,105.0,Drama,8.1,412,Padmakumar Narasimhamurthy
2019,121.0,Drama,6.5,24,Sarkar Sahith
2016,76.0,"Drama, Fantasy, Mystery",6.8,108,Ajay Jain
2021,108.0,Thriller,5.5,22,Sanjay Raj
2014,120.0,"Drama, Family, Sport",7.4,1686,Manto Pashupatinath
2017,145.0,Drama,6.3,10,Premraaj
2016,110.0,"Drama, Thriller",7.5,4637,Konkona Sen Sharma
2016,70.0,Documentary,7.65,34,Rupak Das
2015,72.0,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian
2005,150.0,"Horror, Mystery",6.8,179,Sekhar Suri
2010,103.0,"Drama, Horror, Romance",4.5,202,Hemant Madhukar
2016,151.0,"Action, Adventure, Comedy",3.0,4145,Remo D'Souza
2020,109.0,"Comedy, Romance",6.3,181,Vivek Sharma
2017,145.0,"Action, Comedy",6.2,5227,Krishna D.K.
2019,95.0,"Drama, Romance",8.0,33,Dhruv Sachdev
1959,92.0,Drama,6.5,24,Mehboob Khan
2013,127.0,Drama,7.3,17,Praveen Damle
1996,52.0,Documentary,6.4,7,Riyad Vinci Wadia
2021,108.0,Thriller,5.5,22,Chand Mehta
2013,140.0,Romance,6.0,80,John Mathew Matthan
1970,121.0,Drama,6.5,24,Amrit Mahendra
2019,75.0,"Crime, Drama",6.2,62,Jacob Paul
2020,89.0,Documentary,6.8,15,Cristina Hanes
2016,112.0,Thriller,3.1,142,Ishaan Trivedi
2021,121.0,Drama,6.5,24,Raajhorshee De
1997,108.0,Thriller,5.5,22,Vinod Alva
1976,76.0,Documentary,7.65,34,Fali Bilimoria
2019,140.0,"Comedy, Drama, Music",5.8,2805,Arturo Alanis Garza
2000,108.0,Thriller,5.5,22,Teerat Singh
2011,121.0,Drama,3.8,15,Tarique Khan
2005,143.0,"Drama, Romance",3.8,627,Suneel Darshan
2017,90.0,Documentary,6.9,337,Sarita Khurana
2019,104.0,Drama,7.9,24,Vierendrra Lalit
2021,125.0,"Drama, Thriller",6.2,104,Behzad Khambata
2002,76.0,Documentary,6.9,8,Goutam Ghose
2017,110.0,"Comedy, Horror, Mystery",6.9,11441,Kashmera Shah
2008,104.0,"Action, Crime, Drama",8.1,75118,Neeraj Pandey
2017,123.5,Musical,5.300000000000001,11,Deepak Gattani
1999,177.0,"Musical, Romance, Drama",5.5,1621,Rishi Kapoor
2018,121.0,Drama,8.0,249,Ramkumar Shedge
2021,140.0,"Family, Romance",6.5,76,Rajesh Harivansh Mishra
2009,117.0,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti
1973,148.0,"Action, Drama, Romance",7.2,348,Manmohan Desai
1994,158.0,"Mystery, Romance",4.4,115,Hamid Ali Khan
