Year,Duration,Genre,Rating,Votes,Director
1980,108.0,Thriller,5.5,22,Vijay Bhatt
2011,108.0,"Adventure, Drama, Sci-Fi",3.3,980,Sohan Roy
1951,124.0,Comedy,5.9,41,Brij Rani
1978,110.0,Comedy,7.0,52,Rajat Rakshit
1985,124.0,Comedy,5.9,41,Benjamin Gilani
2011,122.0,"Comedy, Drama, Romance",4.0,406,Swapna Joshi
1951,134.0,"Drama, Family",6.3,21,Nanabhai Bhatt
2001,121.0,Drama,5.5,88,Kalpana Lajmi
1993,175.0,"Crime, Drama",7.8,3185,Rajkumar Santoshi
2010,142.0,"Action, Crime, Drama",5.6,127,B.V.V. Chowdhary
2021,109.0,Horror,4.7,18,Sanjeev Kumar Rajput
1976,115.0,Drama,6.5,24,Anil Ghosh
1985,106.0,Drama,6.7,127,Prakash Jha
1989,142.0,"Action, Crime, Drama",4.9,19,Deven Verma
2003,151.5,"Action, Romance",4.7,12,Makrand Deshpande
1987,153.0,"Action, Drama, Musical",6.1,267,Babbar Subhash
2015,130.0,Romance,5.7,21,Raju Soni
2019,124.0,Comedy,5.9,41,Syed Mehfooz Mian
1997,85.0,"Drama, Music",6.6,128,Rajan Khosa
1995,124.0,"Family, Music, Romance",2.6,25,Deepak Balraj Vij
1991,150.0,"Action, Drama, Musical",3.9,613,Kishore Vyas
1986,130.0,Romance,5.7,21,Unknown
2021,90.0,Documentary,7.65,34,Dinkar Rao
2013,72.0,"Documentary, History",7.7,70,Sudheer Gupta
2019,151.5,"Action, Romance",4.7,66,Nidhie Sharma
1998,153.0,Action,3.7,24,Sikander Bharti
2008,133.0,Action,5.1,16,Shakil. S. Saifee
1990,133.0,Action,5.1,16,Sunil Agnihotri
2016,161.0,"Action, Biography, Drama",8.4,165074,Nitesh Tiwari
2015,121.0,Drama,6.5,24,Razul Alam
2005,133.0,Action,4.7,6,Allari Naresh
2002,133.0,"Crime, Drama, Thriller",6.8,53,Govind Menon
2018,109.5,"Horror, Thriller",4.199999999999999,230,Faisal Saif
2021,151.5,"Action, Romance, Thriller",5.2,267,Ram Gopal Varma
2019,130.0,Romance,5.7,21,Dinesh Tiwari
2012,130.0,"Fantasy, Mystery, Romance",3.9,847,Vikram Bhatt
2003,93.0,Horror,4.7,18,Munir Khan
2019,108.0,"Horror, Thriller",5.7,19,Pushkar Manohar
1969,133.0,Action,5.1,16,Baldev R. Jhingan
2005,103.0,Drama,7.0,65,Kamika Verma
2018,85.0,Drama,8.3,9,Balmukund Tripathi
1980,133.0,Action,5.1,16,Vijaya Nirmala
1996,105.0,"Action, Drama, Romance",5.4,506,Abbas Alibhai Burmawalla
1987,133.0,Action,2.6,13,Raj Bharat
1972,121.0,Drama,6.5,24,Ved Rahi
1964,142.0,"Action, Adventure, Drama",5.6,10,Kedar Kapoor
1997,109.0,Horror,4.7,18,Anil Dhawan
2020,145.0,Drama,7.5,727,Bipin Nadkarni
2019,121.0,Drama,6.5,24,Rohit Khaitan
1955,137.0,Fantasy,6.65,13,Nanubhai Vakil
2020,159.0,"Action, Thriller",6.1,5175,A.R. Murugadoss
1947,154.5,"Drama, Family, Musical",6.3,15,Abdul Rashid Kardar
1982,152.0,Drama,7.0,64,Sunil Dutt
1990,121.0,Drama,6.5,24,Aparajita
1953,137.0,"Drama, Romance",6.2,81,Nitin Bose
1983,151.5,"Action, Romance",6.7,13,Suraj Prakash
2019,123.0,"Comedy, Drama",6.2,234,Gippy Grewal
2016,125.0,"Drama, Thriller",6.2,104,Denis Selarka
1977,133.0,Action,5.9,23,Kaushal Bharati
2005,76.0,Horror,5.2,8,Kanti Shah
1992,133.0,Action,5.1,16,Jagapathi Babu
1988,146.0,Drama,5.1,191,K. Ravi Shankar
2019,121.0,Drama,6.5,24,Suryakant Tyagi
2001,108.0,Thriller,5.5,22,Mahmood Khan
2014,130.0,Romance,5.7,21,Abhik Bhanu
1961,133.0,Action,5.1,16,Naresh Saigal
2019,113.0,Drama,6.5,8,Mayur Hardas
1993,52.0,Documentary,7.65,34,Vaseem Ahmed Dehlvi
2019,107.0,Thriller,5.6,329,Neil Biswas
2007,128.0,"Drama, Horror, Romance",3.8,589,Ram Gopal Varma
1977,130.0,Romance,6.8,34,Gogi Anand
2021,121.0,Drama,6.5,24,Jasmeet K Reen
1997,128.0,Drama,7.2,62,Kalpana Lajmi
2003,121.0,Horror,6.3,3207,Prawaal Raman
2006,108.0,Horror,5.4,1962,J.D. Chakravarthi
1949,123.0,"Crime, Drama, Romance",7.7,9,Akhtar Hussein
1970,140.0,"Drama, Family",7.1,37,Adurthi Subba Rao
1949,102.0,Family,6.0,14,Noor Mohammad Charlie
1993,178.0,"Action, Drama, Romance",7.8,22635,Yash Chopra
2014,124.0,"Horror, Thriller",4.9,936,Pawan Kripalani
1954,134.0,"Drama, Family",6.3,21,Shaheed Latif
1978,117.0,Horror,6.0,89,Shyam Ramsay
2002,84.0,Horror,4.3,50,Kanti Shah
2006,106.0,"Comedy, Crime, Drama",5.3,337,J.D. Chakravarthi
1942,144.0,Drama,6.5,24,Raja Nene
2020,121.0,Drama,7.1,28,Rajan Kothari
2000,121.0,Drama,6.5,24,Kiran Acharaya
2008,119.0,"Animation, Family",6.4,110,Bhavik Thakore
1956,137.0,Fantasy,6.65,13,Chaturbhuj Doshi
1944,121.0,Drama,6.5,24,Hiren Bose
1956,137.0,Fantasy,6.65,13,Chaturbhuj Doshi
2018,131.0,"Action, Thriller",3.8,316,Manish Vatssalya
1972,173.0,"Comedy, Drama, Thriller",6.9,122,B.R. Chopra
1973,130.0,Romance,5.7,21,B.L. Chopra
1996,141.0,"Drama, Romance",4.7,293,Mahesh Bhatt
1970,145.0,Drama,7.1,122,Rajinder Singh Bedi
1950,122.0,"Drama, Family, Romance",6.8,61,Abdul Rashid Kardar
1974,130.0,Romance,5.7,21,R.L. Desai
2020,86.0,Documentary,7.65,34,Niranj Menon
1991,118.0,"Drama, Mystery",4.8,11,Anil Mattoo
2021,123.0,"Comedy, Drama",6.2,234,Tushar Jalota
2008,113.0,"Comedy, Drama",7.8,6140,Shashant Shah
2001,125.0,Drama,7.4,57,Gul Bahar Singh
1997,180.0,"Action, Adventure, Comedy",5.9,1006,Ram Gopal Varma
2013,102.0,Family,6.0,14,Viju Mane
1958,137.0,Fantasy,6.65,13,Pran
1982,150.0,"Action, Crime, Drama",6.1,35,Mohan Segal
1937,133.0,Action,5.1,16,S.M. Yusuf
1982,133.0,Action,5.1,16,Datta Dharmadhikari
1983,133.0,Action,3.3,15,Bimal Rawal
1990,133.0,Action,5.1,16,Raviraja Pinisetty
2002,108.0,Thriller,5.5,22,Rajendra Bitty
1992,143.0,"Action, Adventure, Romance",5.7,834,S.A. Kader
1989,133.0,Action,4.1,18,Kawal Sharma
2013,155.0,"Action, Crime, Drama",6.2,2608,Bejoy Nambiar
1974,111.0,Drama,6.5,24,B.R. Ishara
2016,124.0,Comedy,5.9,41,Syed Hussain
1975,137.0,Drama,7.2,6,A. Shamsheer
1956,121.0,Drama,6.5,24,Hira Singh
1988,173.0,"Action, Crime, Drama",6.5,548,Feroz Khan
2017,75.0,Drama,8.1,15,Piyush Sharma
2016,155.0,Comedy,7.3,252,Krishnadev Yagnik
2013,153.0,"Action, Thriller",7.2,9525,Nikkhil Advani
2009,162.0,"Action, Comedy, Crime",5.5,7758,Priyadarshan
2019,135.0,"Comedy, Drama, Romance",6.6,7329,Akiv Ali
2018,108.0,Thriller,5.5,22,Awani Agrawal
2010,121.0,Drama,6.5,24,Swabri Abdulkhader Khasim
2008,140.0,"Comedy, Drama, Romance",4.1,808,Eeshwar Nivas
2016,126.0,"Comedy, Thriller",6.4,10,Prashant Passy Pilley
2006,102.0,"Crime, Thriller",6.3,585,Tanveer Khan
2019,121.0,Drama,6.5,24,Unknown
2016,95.0,"Drama, Family",6.3,384,Tanuj Bhramar
2017,111.0,"Drama, Romance",5.8,390,Sunaina Bhatnagar
2018,91.0,Drama,7.8,10,Gajendra Ahire
2014,145.0,"Adventure, Thriller",6.6,18,Sanjeev Vedwan
2016,151.0,"Drama, Romance",7.5,37149,Gauri Shinde
1987,100.0,Drama,7.5,22,Utpalendu Chakrabarty
1962,133.0,Action,5.1,16,Aakkoo
2019,102.0,Family,6.0,14,Bobby Khan
2018,52.0,"Documentary, Music",8.9,94,Deepti Pillay Sivan
2014,152.0,"Comedy, Drama, Romance",7.1,6978,Abhishek Chaubey
2014,121.0,Drama,6.5,24,Jayprakkash Shaw
1992,130.0,"Drama, Romance",4.3,578,Pramod Chakravorty
1951,130.0,"Musical, Romance",7.6,198,Nitin Bose
1970,130.0,Romance,5.7,21,Jugal Kishore
1982,137.0,"Drama, Romance",5.3,45,Harnam Singh Rawail
1979,121.0,Drama,6.5,24,A. Shamsheer
2020,137.0,Biography,6.3,11,Manoj Giri
1996,108.0,Thriller,5.5,22,Dilip Dhadha
2021,101.0,Thriller,5.5,22,Bharath Bhushan Nethi
1959,135.0,"Drama, Family, Romance",6.2,33,Datta Dharmadhikari
2001,153.0,"Action, Romance",4.6,418,Ashu Trikha
2021,130.0,Romance,5.7,21,Raam Sharma
1976,168.0,"Action, Crime, Drama",6.5,40,Samir Ganguly
1975,174.0,"Action, Crime, Drama",8.1,10361,Yash Chopra
1952,130.0,Romance,5.0,10,Abdul Rashid Kardar
1992,185.0,"Action, Comedy, Crime",6.9,6298,Raj Kanwar
1950,130.0,Romance,5.7,21,Gyan Mukherjee
1992,133.0,Action,5.1,16,Gulshan Arora
2005,108.0,Thriller,5.5,22,Shakeela
1998,151.0,"Drama, Family, Action",4.1,8,Mohanji Prasad
2013,130.0,"Comedy, Drama, Romance",2.4,339,K.C. Bokadia
1997,140.0,"Comedy, Romance",6.7,2488,David Dhawan
1990,130.0,"Romance, Comedy, Drama",5.7,953,Y. Nageswara Rao
1987,97.0,"Drama, Romance",5.0,25,Deepak Bahry
2000,164.0,"Action, Romance",4.7,587,Harry Baweja
1991,130.0,Romance,3.2,6,Chander Sharma
2005,158.0,"Action, Comedy, Drama",5.3,4622,Vikram Bhatt
2004,130.0,Romance,5.7,21,Unknown
2002,169.0,"Crime, Drama, Mystery",6.6,2620,Anees Bazmee
2002,108.0,Thriller,5.5,22,Sajani
1955,121.0,Drama,6.5,24,Master Bhagwan
2007,126.0,Romance,6.4,66,Mahesh Manjrekar
1947,121.0,Drama,6.5,24,Jeevan
2021,120.0,"Comedy, Musical",4.6,62,Manoj Sharma
1991,133.0,Action,5.1,16,Unknown
2013,108.0,Thriller,5.6,50,Milind Ukey
2021,110.0,Sci-Fi,6.3,27,Abhijeet Warang
2009,105.0,"Comedy, Crime, Drama",4.5,26,Rahat Kazmi
1957,141.0,"Comedy, Romance",7.4,29,Amiya Chakrabarty
2021,79.0,"Music, Romance",6.699999999999999,20,Saaz Khan
2014,110.0,Comedy,6.1,284,Feroz Abbas Khan
1960,133.0,Action,5.1,16,Amarnath
2013,130.0,Romance,5.7,21,Mohd. Shamim Khan
1985,138.0,"Comedy, Drama",5.6,38,Virendra Sharma
2019,124.0,Comedy,5.9,41,Shrabani Deodhar
1961,124.0,Comedy,5.9,41,Kailash Bhandari
2018,98.0,Drama,5.9,24,Shadab Khan
2011,103.0,"Action, Comedy, Crime",7.6,28299,Abhinay Deo
2009,58.0,Documentary,7.65,34,Reena Kukreja
2018,108.0,Thriller,5.5,22,Sharique Minhaj
2012,121.0,Drama,6.5,24,Kawal Sharma
2011,88.0,"Comedy, Drama",6.2,395,Prashant Nair
1935,133.0,Action,5.1,16,Dhirubhai Desai
2012,96.0,"Animation, Adventure, Comedy",5.6,1631,Nikkhil Advani
2009,141.0,Drama,6.1,7256,Rakeysh Omprakash Mehra
2007,137.0,"Drama, Romance",4.2,183,Kumar Anand
2012,94.0,Music,5.9,48,Samit Kakkad
2017,137.0,Biography,6.3,11,Ranveer Pratap Singh
2020,90.0,"Sci-Fi, Thriller",6.3,269,Jha Nitesh
2012,141.0,"Action, Crime, Thriller",3.1,965,Ram Gopal Varma
1981,90.0,Animation,6.3,13,Bhimsain
1978,134.0,"Drama, Family",7.1,151,Dev Anand
2007,148.0,"Action, Drama, Romance",6.2,1608,Puri Jagannadh
2021,98.0,Drama,6.5,24,Himanshu Gulati
2002,130.0,Drama,4.9,50,Raja Sen
2002,150.0,Drama,6.5,24,Milind Ukey
1980,158.0,Action,5.5,11,Prakash Mehra
2008,140.0,"Action, Thriller",1.4,3899,Jagdish A. Sharma
1989,133.0,Action,3.9,14,Swaroop Kumar
1972,133.0,Action,5.1,16,Kishore Ahibasi
1982,165.0,"Action, Comedy, Drama",6.0,536,Manmohan Desai
1948,133.0,Action,5.1,16,Nanubhai Vakil
1991,145.0,"Action, Crime, Drama",3.6,12,Rajiv Goswami
2011,122.0,"Comedy, Drama",5.7,13203,Rohit Dhawan
2014,139.0,Action,4.0,126,Kumar Anand
2021,131.0,"Comedy, Romance",5.8,345,Mehul Atha
2004,124.0,Comedy,5.9,41,Viraj Patel
2019,102.0,Family,6.0,14,Ajay Dixit
2017,110.0,"Action, Drama",5.5,66,Bhupendra Singh
2021,78.0,Drama,6.5,24,Saptarishi Pratim
1958,114.0,Mystery,6.4,15,Shakti Samanta
2015,139.0,"Action, Crime, Drama",7.7,21107,Dibakar Banerjee
2009,140.0,"Crime, Drama, Family",6.2,76,Romilla Mukherjee
2004,172.0,Drama,6.9,1332,Govind Nihalani
1955,154.0,"Action, Drama, Romance",5.8,16,Phani Majumdar
1963,137.0,Fantasy,6.65,13,S.N. Tripathi
2019,46.0,"Comedy, Drama",6.2,234,Natin Mishra
2009,144.0,"Drama, Romance",8.0,29283,Anurag Kashyap
1995,133.0,Action,5.1,16,Kranthi Kumar
2005,87.0,Drama,4.2,31,Bappaditya Bandopadhyay
2020,89.0,Thriller,5.5,22,Jimpa Bhutia
1966,156.0,"Crime, Drama, Romance",7.2,81,Mohan Segal
1958,121.0,Drama,6.5,6,Kedar Kapoor
1986,121.0,Drama,6.5,24,Shoma Anand
1978,148.0,"Drama, Family",7.1,50,S. Ramanathan
2002,185.0,"Drama, Musical, Romance",7.6,39573,Sanjay Leela Bhansali
1936,139.0,"Drama, Romance",6.2,91,P.C. Barua
1955,159.0,"Drama, Musical, Romance",7.9,1731,Bimal Roy
1945,121.0,Drama,6.5,24,Phani Majumdar
1970,134.0,"Drama, Family",6.6,19,V. Madhusudan Rao
2002,146.0,"Biography, Drama, History",6.6,17,Jayoo
1992,97.0,Drama,6.5,24,Ramanarayanan
2019,117.0,Drama,7.8,15,Aditya Kripalani
1989,121.0,Drama,6.5,24,Unknown
2001,137.0,Fantasy,5.6,16,Pughalmani
2006,137.0,Fantasy,6.6,14,Ramanarayanan
1986,86.0,Drama,6.5,24,Sudha Chandran
2005,121.0,Drama,6.5,24,Perala
2004,161.0,"Action, Drama, Fantasy",5.8,260,Kodi Ramakrishna
2019,79.0,Drama,5.2,16,Kshitij Sharma
2019,89.0,"Comedy, Drama, Fantasy",2.6,172,Ghorban Mohammadpour
2007,110.0,Crime,5.3,19,Hemant Verma
2014,154.0,"Action, Drama, Romance",5.3,263,Rajkumar R. Pandey
1956,178.0,"Adventure, Drama",5.7,16,Pattanna
1998,177.0,Action,3.5,21,Jagdish A. Sharma
2018,135.0,Action,5.5,13,Paresh Naik
2000,167.0,"Drama, Romance",3.7,1313,Raj Kanwar
2021,133.0,Action,5.1,16,Razneesh Ghai
1997,148.0,"Action, Drama",5.1,68,Sameer Malkan
1992,136.0,Action,5.1,16,Amar Bhattacharya
1998,130.0,Romance,6.1,7,Sanjeev Naik
2018,138.0,"Drama, Romance",4.5,9399,Shashank Khaitan
2000,161.0,"Drama, Romance",6.5,6953,Dharmesh Darshan
2006,146.0,"Action, Crime, Drama",4.4,12,Imran Khalid
2019,130.0,Romance,5.7,21,Raajeev Walia
2017,126.0,Drama,6.5,24,Ramveer Tomar
1956,123.0,"Comedy, Drama",6.2,234,J.K. Nanda
2005,133.0,Action,5.1,16,Jagapathi Babu
2007,136.0,"Action, Adventure, Comedy",7.3,13878,Indra Kumar
1980,137.0,"Action, Thriller",5.4,54,Jagdeep
2021,137.0,"Action, Thriller",5.4,54,Ram Madhvani
1973,132.0,"Action, Crime, Drama",5.4,14,Kalpataru
2005,137.0,"Action, Thriller",2.5,15,Aziz Chhapra
1980,146.0,Drama,6.5,57,Harish Shah
2007,167.0,"Drama, Sport",5.0,2410,Vivek Agnihotri
2021,108.0,Thriller,5.5,22,Akhil Parashar
1997,121.0,Drama,6.5,24,Dipak Roy
1945,137.0,Fantasy,6.65,13,Kidar Nath Sharma
2004,108.0,Thriller,5.5,22,Harinam Singh
1993,123.0,"Comedy, Drama, Romance",3.4,252,K. Viswanath
1981,152.0,"Crime, Drama, Family",7.3,55,Surendra Mohan
1948,121.0,Drama,6.5,24,Gajanan Jagirdar
2018,110.0,Crime,5.3,19,Siddharth Nagar
2008,95.0,"Drama, Romance",4.3,11,Masud Mirza
2016,148.0,Drama,4.4,16,Jitendra Singh Naruka
1997,150.0,Action,5.1,16,K.S. Ravikumar
1993,133.0,Action,5.1,16,Sunil Nayyar
1982,146.0,"Action, Drama",6.2,77,Sultan Ahmed
1991,133.0,Action,5.8,10,Kodanda Rami Reddy A.
1975,159.0,"Family, Drama",6.0,140,Randhir Kapoor
1991,155.0,"Action, Drama",3.5,21,N.D. Kothari
2015,129.0,Comedy,6.3,2118,Fuwad Khan
2004,121.0,Drama,6.5,24,Unknown
1988,141.5,"Action, Crime, Thriller",4.3,7,Harmesh Malhotra
1977,165.0,"Action, Adventure, Comedy",6.7,715,Manmohan Desai
1988,121.0,"Drama, Mystery, Thriller",5.8,24,Sudarshan Nag
1996,133.0,Action,5.1,16,K. Viswanath
1992,120.0,"Crime, Drama",7.0,289,Sudhir Mishra
2002,121.0,Drama,6.3,12,Susant Misra
1986,159.0,"Action, Comedy, Drama",5.8,94,K. Raghavendra Rao
1973,138.0,"Action, Comedy, Crime",7.0,26,Chand
1997,128.0,"Action, Drama",5.8,34,Ravi Varma
1953,106.0,Drama,6.5,24,Ramchandra Thakur
2021,121.0,Drama,6.5,24,Megastar Maharishi Aazaad
1989,133.0,Action,5.1,16,Amala Akkineni
1975,163.0,"Action, Romance, Thriller",6.7,295,Feroz Khan
1961,150.0,Drama,7.3,87,Yash Chopra
1970,142.0,"Action, Adventure, Drama",6.7,41,C.V. Sridhar
2011,126.0,"Crime, Drama, Thriller",7.0,357,Navaniat Singh
1943,121.0,Drama,6.5,24,Sohrab Modi
1969,137.0,"Drama, Romance",7.4,59,Dulal Guha
1971,121.0,Drama,6.5,24,Navin
1950,125.0,"Drama, History",6.4,16,Khwaja Ahmad Abbas
1987,133.0,Action,5.1,16,Sonika Gill
1938,165.0,Drama,6.5,24,Nitin Bose
1993,146.0,"Action, Drama",6.1,68,Iqbal Durrani
1983,124.0,Comedy,6.2,12,Meraj
2020,90.0,"Drama, Romance, Sport",7.3,64,Ravi Adhikari
2017,128.0,"Drama, Family",7.8,235,Manish Saini
2001,158.0,"Action, Drama",7.0,810,Dharani
2020,117.0,Animation,6.5,388,Arun Kumar Rapolu
1952,121.0,Drama,6.5,24,Phani Majumdar
2010,100.0,Drama,7.0,12695,Kiran Rao
2019,124.0,Comedy,5.9,41,Sharmila Sankar
1984,133.0,Action,5.1,16,Chand
1946,124.0,Comedy,5.9,41,R. Shivraj
2007,117.0,"Action, Drama, Romance",6.2,455,Pooja Bhatt
2007,145.0,"Comedy, Crime, Mystery",6.3,5501,Priyadarshan
1951,155.0,"Comedy, Romance",6.3,6,Roop K. Shorey
1979,122.0,"Action, Comedy, Drama",4.5,22,Ashok Roy
1959,153.0,Drama,6.7,158,Yash Chopra
2004,129.0,"Action, Crime, Drama",6.7,18768,Sanjay Gadhvi
2006,152.0,"Action, Crime, Thriller",6.5,24610,Sanjay Gadhvi
2013,172.0,"Action, Crime, Thriller",5.4,43831,Vijay Krishna Acharya
2008,128.0,"Comedy, Crime, Drama",3.4,87,Shashi Ranjan
1985,113.0,Drama,6.4,8,K. Gopal Krishnan
1953,137.0,"Drama, Romance",7.0,29,M. Kumar
1998,132.5,"Comedy, Drama, Family",4.8,40,Kumar Bhatia
2009,131.0,"Comedy, Drama",5.6,751,Umesh Shukla
2003,126.0,Drama,7.2,242,Ashwini Chaudhary
2019,112.0,Music,5.9,48,Rekha Bhardwaj
1977,121.0,Drama,5.5,30,Prahlad Sharma
2020,121.0,Drama,6.5,24,Vinay Agrahari
1975,139.0,Comedy,4.5,19,Mohan Choti
2006,123.0,Action,5.1,16,Asif Ali
1983,72.0,Documentary,7.8,57,Mani Kaul
1989,147.0,"Action, Drama",8.1,90,Y. Nageswara Rao
1953,113.0,Mystery,5.85,15,Roshan Lal Malhotra
2013,130.0,Romance,5.7,21,Mrunalini Patil Dayall
1981,152.0,Drama,7.2,78,Dulal Guha
1994,133.0,Action,5.1,16,Nazir Herekar
1974,137.0,"Drama, Romance",6.2,81,Kishore Sahu
2019,121.0,Drama,6.5,24,Nandlal Nayak
2002,139.0,"Action, Drama, Family",6.9,58,M.S. Ramesh
1996,123.5,Musical,5.300000000000001,11,Mahesh Bhatt
1973,130.0,"Drama, Mystery, Thriller",7.2,529,B.R. Chopra
2003,153.0,"Adventure, Horror, Mystery",2.4,247,Shyam Ramsay
2021,109.0,Horror,4.7,18,Unknown
2015,92.0,Family,6.0,14,Amit Ojha
2019,106.0,"Biography, Crime, Drama",8.9,47,Snehashish Mondal
2021,130.0,Romance,5.7,21,Trinayan Sharma
1982,145.0,"Action, Crime, Drama",6.1,17,S. Ramanathan
2001,107.0,"Crime, Mystery",6.1,21,Inayat Mahshar
1961,133.0,Action,5.1,16,Chitra
1940,155.0,"Action, Adventure",6.1,31,Homi Wadia
2020,72.0,Drama,6.5,24,Priya Dutta
2012,97.0,Drama,3.6,88,Vinod Mukhi
2013,72.0,Drama,6.5,24,Prashant Sehgal
2019,109.0,Horror,4.7,18,Vicky Ranawat
1948,140.0,"Drama, Musical",6.7,110,Mukund Masurekar
1959,121.0,Drama,8.0,32,K. Narayan Kale
1989,59.0,"Drama, Family",7.6,7,Tapan Sinha
2021,87.0,Drama,6.5,24,Nidhi Patel
1991,120.0,Drama,7.0,170,Arun Kaul
1990,172.0,"Comedy, Drama, Romance",6.7,5017,Indra Kumar
1946,130.0,Romance,5.7,21,S.F. Hasnain
2001,130.0,Romance,5.7,21,T.L.V. Prasad
1992,164.0,"Drama, Romance",5.0,1536,Hema Malini
1993,129.0,Romance,5.7,21,K. Vinod
1960,138.0,"Musical, Romance",6.6,125,Kishore Sahu
1978,156.0,"Action, Crime, Drama",5.5,30,K. Bapaiah
1968,137.0,Action,6.1,20,Anand Dutta
1977,151.5,"Action, Romance",4.7,66,Kanak Mishra
2020,101.0,"Comedy, Drama, Romance",6.6,117377,Mukesh Chhabra
2004,131.0,"Comedy, Romance",5.4,53,Onkar Nath Mishra
2014,133.0,Action,5.5,11,Jagdish Sidana
1960,137.0,"Drama, Romance",6.8,32,Arjun Hingorani
2009,148.0,"Comedy, Drama, Romance",4.6,3902,Anurag Singh
2001,183.0,"Comedy, Drama, Romance",8.1,68138,Farhan Akhtar
2002,130.0,Romance,5.7,21,Bindiya Mohapatra
1972,123.0,"Comedy, Drama",6.8,56,Prem Narayan Arora
1959,187.0,"Musical, Romance",7.0,146,Nasir Hussain
2015,170.0,"Comedy, Drama, Romance",6.9,15722,Zoya Akhtar
1974,134.0,"Comedy, Romance",6.2,33,Narendra Bedi
1966,169.0,"Drama, Musical, Romance",6.4,119,Abdul Rashid Kardar
2006,121.0,"Drama, Romance, Thriller",3.5,473,Aditya Datt
2007,112.0,"Comedy, Crime, Drama",7.0,2793,Manish Tiwary
1978,130.0,Romance,5.7,21,Unknown
1963,148.0,"Drama, Musical, Romance",6.7,129,C.V. Sridhar
1985,130.0,Romance,5.7,21,R.K. Munir
1993,157.0,"Action, Drama, Romance",3.1,114,K.C. Bokadia
1991,154.0,"Adventure, Comedy, Drama",7.3,4087,Mahesh Bhatt
2002,185.0,"Drama, Romance",5.3,1720,Kundan Shah
1982,137.0,"Drama, Romance",3.6,5,Desh Gautam
1963,128.0,"Comedy, Drama, Romance",7.1,122,C.L. Rawal
1992,164.0,"Drama, Romance",5.1,102,Asrani
2005,144.0,"Drama, Romance",4.6,332,Romesh Sharma
2017,130.0,Romance,5.3,103,Naresh Lalwani
2018,124.0,"Comedy, Romance",3.7,417,Aleya Sen
1995,124.0,Comedy,3.5,21,Avtar Bhogal
1992,157.0,"Musical, Romance",5.7,191,Lawrence D'Souza
1972,123.0,"Comedy, Drama",5.6,13,P. Madhavan
2003,150.0,"Drama, Musical, Romance",4.8,1615,Naresh Malhotra
1982,130.0,Romance,6.7,18,N. Sankaran Nair
2014,136.0,"Action, Crime, Drama",5.3,6,Lalji B. Yadav
1979,121.0,Drama,6.6,29,Dulal Guha
2008,120.0,"Comedy, Drama",5.7,653,Anil Senior
1997,138.0,"Musical, Romance",3.8,28,Ashim Bhattacharya
2005,110.0,"Drama, Thriller",4.9,12,Gopal Malhotra
1944,124.0,Comedy,5.9,41,Pralhad Keshav Atre
1993,162.0,"Action, Drama",5.3,494,Anil Ganguly
2005,130.0,Romance,5.7,21,Prabu Solomon
2000,137.0,"Drama, Romance",6.2,81,Rambha
1949,140.0,"Comedy, Drama, Music",5.8,2805,Geeta Bali
1993,130.0,Romance,5.7,21,Unknown
1973,134.0,"Drama, Family",7.3,6,B.R. Ishara
1997,151.0,"Drama, Musical, Romance",5.8,24,Ravi Rai
1999,158.0,"Drama, Musical, Romance",5.1,1102,Prakash Jha
1989,137.0,"Drama, Romance",4.4,10,Krishna Ghattamaneni
2018,130.0,Romance,5.7,21,Sumeet Chawla
2004,123.0,"Musical, Romance",5.2,1808,Ananth Narayan Mahadevan
2002,130.0,Romance,5.7,21,Unknown
1992,130.0,Romance,5.7,21,Partho Ghosh
2004,135.0,"Drama, Romance",4.4,1716,Atul Agnihotri
2001,151.0,"Drama, Musical, Romance",3.3,106,Rajat Rawail
1966,137.0,"Drama, Romance",5.8,60,C.L. Rawal
1967,173.0,"Drama, Romance",7.0,28,Mohan J. Bijlani
2003,150.0,"Romance, Drama",4.8,91,Saawan Kumar Tak
2000,148.0,Drama,5.0,213,Hansal Mehta
2016,110.0,Romance,5.0,21,Sushikailash
1978,130.0,Romance,4.3,11,Bhisham Kohli
2006,121.0,Drama,6.7,14,Shrirang Dhhavale
2003,130.0,Romance,5.7,21,Dinesh Hingoo
1998,163.0,"Drama, Romance",7.6,27393,Mani Ratnam
1993,151.0,"Comedy, Drama, Romance",5.1,720,Lawrence D'Souza
1962,150.0,"Comedy, Romance",7.0,94,B. Ramakrishnaiah Panthulu
1996,139.0,"Drama, Mystery",5.0,185,Lawrence D'Souza
1997,180.0,"Comedy, Drama, Musical",7.0,21182,Yash Chopra
2011,143.0,"Comedy, Drama, Romance",5.8,3723,Madhur Bhandarkar
2016,135.0,"Drama, Romance",6.5,17,Raja Bundela
1987,127.0,Romance,5.0,22,Rakesh Kumar
2002,150.0,"Drama, Musical, Romance",5.3,454,Ananth Narayan Mahadevan
1982,216.0,Drama,5.5,15,Esmayeel Shroff
1984,151.5,"Action, Romance",4.7,66,Ramesh Bedi
1966,133.0,Action,5.1,16,Harish Khatri
1994,138.0,"Drama, Romance",3.8,21,B. Krishna Rao
2021,130.0,Romance,5.7,21,Guddu
1977,165.0,"Action, Comedy, Drama",4.5,18,K. Bapaiah
1982,137.0,"Drama, Romance",6.3,37,C.V. Sridhar
1953,142.0,Romance,6.7,10,Abdul Rashid Kardar
1979,133.0,Action,6.4,9,K.S.R. Das
1981,117.0,Drama,6.5,24,Vadiraj
1948,133.0,Action,5.1,16,Mohammed Hussain
